"","School.Code","School.Name","School.Type","Function","Contact.Name","Address.1","Address.2","Town","State","Zip","Phone","Fax","Grade","District.Name","District.Code","PK_Enrollment","K_Enrollment","X1_Enrollment","X2_Enrollment","X3_Enrollment","X4_Enrollment","X5_Enrollment","X6_Enrollment","X7_Enrollment","X8_Enrollment","X9_Enrollment","X10_Enrollment","X11_Enrollment","X12_Enrollment","SP_Enrollment","TOTAL_Enrollment","First.Language.Not.English","X..First.Language.Not.English","English.Language.Learner","X..English.Language.Learner","Students.With.Disabilities","X..Students.With.Disabilities","High.Needs","X..High.Needs","Economically.Disadvantaged","X..Economically.Disadvantaged","X..African.American","X..Asian","X..Hispanic","X..White","X..Native.American","X..Native.Hawaiian..Pacific.Islander","X..Multi.Race..Non.Hispanic","X..Males","X..Females","Total...of.Classes","Average.Class.Size","Number.of.Students","Salary.Totals","Average.Salary","FTE.Count","In.District.Expenditures","Total.In.district.FTEs","Average.In.District.Expenditures.per.Pupil","Total.Expenditures","Total.Pupil.FTEs","Average.Expenditures.per.Pupil","X..in.Cohort","X..Graduated","X..Still.in.School","X..Non.Grad.Completers","X..GED","X..Dropped.Out","X..Permanently.Excluded","High.School.Graduates....","Attending.Coll..Univ.....","X..Attending.College","X..Private.Two.Year","X..Private.Four.Year","X..Public.Two.Year","X..Public.Four.Year","X..MA.Community.College","X..MA.State.University","X..UMass","AP_Test.Takers","AP_Tests.Taken","AP_One.Test","AP_Two.Tests","AP_Three.Tests","AP_Four.Tests","AP_Five.or.More.Tests","AP_Score.1","AP_Score.2","AP_Score.3","AP_Score.4","AP_Score.5","X..AP_Score.1.2","X..AP_Score.3.5","SAT_Tests.Taken","Average.SAT_Reading","Average.SAT_Writing","Average.SAT_Math","MCAS_10thGrade_Math_P.A..","X..MCAS_10thGrade_Math_P.A","MCAS_10thGrade_Math_A..","X..MCAS_10thGrade_Math_A","MCAS_10thGrade_Math_P..","X..MCAS_10thGrade_Math_P","MCAS_10thGrade_Math_NI..","X..MCAS_10thGrade_Math_NI","MCAS_10thGrade_Math_W.F..","X..MCAS_10thGrade_Math_W.F","MCAS_10thGrade_Math_Stud..Incl...","MCAS_10thGrade_Math_CPI","MCAS_10thGrade_Math_SGP","MCAS_10thGrade_Math_Incl..in.SGP...","MCAS_10thGrade_English_P.A..","X..MCAS_10thGrade_English_P.A","MCAS_10thGrade_English_A..","X..MCAS_10thGrade_English_A","MCAS_10thGrade_English_P..","X..MCAS_10thGrade_English_P","MCAS_10thGrade_English_NI..","X..MCAS_10thGrade_English_NI","MCAS_10thGrade_English_W.F..","X..MCAS_10thGrade_English_W.F","MCAS_10thGrade_English_Stud..Incl...","MCAS_10thGrade_English_CPI","MCAS_10thGrade_English_SGP","MCAS_10thGrade_English_Incl..in.SGP...","Accountability.and.Assistance.Level","Accountability.and.Assistance.Description","School.Accountability.Percentile..1.99.","Progress.and.Performance.Index..PPI....All.Students","Progress.and.Performance.Index..PPI....High.Needs.Students","District_Accountability.and.Assistance.Level","District_Accountability.and.Assistance.Description","District_Progress.and.Performance.Index..PPI....All.Students","District_Progress.and.Performance.Index..PPI....High.Needs.Students"
"11",7250505,"Nashoba Regional","Public School","Principal","Paul DiDomenico","12 Green Road","","Bolton","MA",1740,"978-779-2257","978-779-2720","09,10,11,12","Nashoba",7250000,0,0,0,0,0,0,0,0,0,0,224,253,274,247,13,1011,22,2.2,5,0.5,133,13.2,171,16.9,51,5,1.6,2.3,4.9,87.1,0.2,0,3.9,48.8,51.2,594,14.5,1049,18919145,71458,265,47909135.19,3449.3,13889.52,51433284.95,3605.8,14264.04,272,94.5,1.1,0.4,1.1,2.9,0,249,224,90,0.4,41.5,11.2,46.9,11.2,8.9,17,"291","520",170,52,39,24,6,22,54,105,171,168,14.6,85.4,239,552,539,563,249,93,218,82,31,12,11,4,7,3,267,97.4,60,253,261,97,174,65,87,32,3,1,4,1,268,99.1,50,253,"Level 2","Not meeting gap narrowing goals",83,86,71,"Level 2","One or more schools in the district classified into Level 2",79,61
"12",7050505,"Masconomet Regional High School","Public School","Principal","Laurie Hodgdon","20 Endicott Rd","","Boxford","MA",1921,"978-887-2323","978-887-7243","09,10,11,12","Masconomet",7050000,0,0,0,0,0,0,0,0,0,0,285,278,289,335,1,1188,23,1.9,2,0.2,163,13.7,215,18.1,69,5.8,0.3,3.1,2.4,92.7,0.3,0,1.2,49.8,50.2,615,15.8,1268,11951229,94253,127,27530037.48,1946.6,14142.63,30708750.4,1991.2,15422.23,360,97.5,1.1,0,0.6,0.8,0,316,287,90.8,0,47.4,11.5,41.1,9.8,5.6,15,"281","503",131,92,45,12,1,21,62,137,170,113,16.5,83.5,334,549,547,567,271,94,230,80,41,14,11,4,6,2,288,97.5,58,271,280,97,189,66,91,32,6,2,2,1,288,99.2,51,270,"Level 1","Meeting gap narrowing goals",94,99,76,"Level 1","One or more schools in the district classified into Level 1",99,80
"13",6250505,"Bridgewater-Raynham Regional","Public School","Principal","Angela Watson","415 Center Street","","Bridgewater","MA",2324,"508-697-6902","508-279-2110","09,10,11,12","Bridgewater-Raynham",6250000,0,0,0,0,0,0,0,0,0,0,354,401,356,392,9,1512,37,2.4,12,0.8,149,9.9,310,20.5,181,12,3.9,2.3,2.7,87.4,0.2,0.1,3.4,50,50,635,16.9,1473,26985881,82349,328,63702161,5280.5,12063.66,70289768,5509,12759.08,364,92.6,3.3,1.1,0,3,0,368,280,76.1,0,29.6,19.6,50.7,19.6,26.1,15.7,"269","430",143,94,29,3,0,34,104,157,92,43,32.1,67.9,279,510,504,531,297,87,205,60,92,27,35,10,8,2,340,94.9,41,321,327,96,151,44,176,52,9,3,4,1,340,98.2,35,323,"Level 3","Very low assessment participation (Less than 90%)",36,80,66,"Level 3","One or more schools in the district classified into Level 3",71,61
"14",350505,"Brighton High","Public School","Principal","Robert Rametti","25 Warren Street","","Brighton","MA",2135,"617-635-9873","617-635-9892","09,10,11,12","Boston",350000,0,0,0,0,0,0,0,0,0,0,203,189,213,192,14,811,481,59.3,337,41.6,193,23.8,699,86.2,495,61,44.3,3.1,45.7,5.4,0.4,0.1,1,60.3,39.7,321,17.8,958,383866184,88790,4323,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,258,62,15.1,0,3.5,19.4,0,198,131,66.2,0.8,17.6,48.9,32.8,47.3,9.2,22.1,"88","132",53,27,7,1,0,93,34,4,1,0,96.2,3.8,127,357,352,392,65,39,25,15,40,24,49,30,52,31,166,67.3,37,115,105,64,9,5,96,59,39,24,20,12,164,85.2,41,115,"Level 4","Among lowest achieving and least improving schools",2,48,65,"Level 4","One or more schools in the district classified into Level 4",53,54
"15",440505,"Brockton High","Public School","Principal","Clifford Murray","470 Forest Avenue","","Brockton","MA",2301,"508-580-7633","508-580-7600","09,10,11,12","Brockton",440000,0,0,0,0,0,0,0,0,0,0,1223,1048,978,993,22,4264,1973,46.3,761,17.8,509,11.9,2646,62.1,1997,46.8,62.2,2.6,12.5,18.8,0.4,0.2,3.4,50.5,49.5,1510,20.4,4327,91426338,79723,1147,234018143.37,16858.5,13881.31,249325908.87,17541.3,14213.65,1013,89.9,4.7,2.4,0,3,0,897,682,76,0.7,19.1,49,31.2,48.4,13.9,15.1,"315","437",220,70,23,2,0,116,177,88,44,12,67,33,623,440,428,453,587,63,342,37,245,26,221,24,117,13,925,82.7,53,761,813,88,333,36,480,52,69,7,43,5,925,95.6,63,757,"Level 1","Meeting gap narrowing goals",36,82,95,"Level 3","One or more schools in the district classified into Level 3",55,57
"16",490506,"Cambridge Rindge and Latin","Public School","Principal","Damon Smith","459 Broadway Ave","","Cambridge","MA",2138,"617-349-6632","617-349-6749","09,10,11,12","Cambridge",490000,0,0,0,0,0,0,0,0,0,0,491,511,490,462,2,1956,504,25.8,105,5.4,325,16.6,792,40.5,535,27.4,30.3,11.9,13.5,38.9,0.6,0.2,4.7,51.8,48.2,1034,15.5,1928,50658612,78456,646,168307565.58,6428,26183.5,194321971.07,7048.6,27568.87,466,92.5,4.7,0.4,0,2.4,0,433,349,80.6,0,53.9,18.1,28.1,17.5,3.7,18.3,"352","594",181,113,46,11,1,36,64,127,156,211,16.8,83.2,358,521,514,526,366,80,258,56,108,24,68,15,25,5,459,91.1,53,346,410,90,220,48,190,42,43,9,2,0,455,96.9,47,341,"Level 2","Not meeting gap narrowing goals",48,80,65,"Level 2","One or more schools in the district classified into Level 2",67,59
"17",500505,"Canton High","Public School","Principal","Derek Folan","900 Washington Street","","Canton","MA",2021,"781-821-5050","781-821-5052","09,10,11,12","Canton",500000,0,0,0,0,0,0,0,0,0,0,235,241,260,215,0,951,49,5.2,10,1.1,73,7.7,169,17.8,110,11.6,10.8,9.1,4.2,71.8,0,0.1,3.9,48.8,51,580,17.1,955,18615345,77664,240,44371614,3359.4,13208.2,48664018,3434.9,14167.52,224,97.3,0.9,0,0,1.8,0,219,192,87.7,0,40.1,12.5,47.4,12.5,6.8,21.9,"234","462",106,62,41,19,6,51,100,140,110,61,32.7,67.3,197,520,507,537,221,89,167,68,54,22,21,9,5,2,247,95.3,48.5,230,244,99,161,65,83,34,3,1,0,0,247,99.6,51,231,"Level 2","Not meeting gap narrowing goals",75,84,74,"Level 2","One or more schools in the district classified into Level 2",70,72
"18",8060605,"Blue Hills Regional Vocational Technical","Public School","Principal","Jill Rossetti","800 Randolph Street","","Canton","MA",2021,"781-828-5800","781-828-3872","09,10,11,12","Blue Hills Regional Vocational Technical",8060000,0,0,0,0,0,0,0,0,0,0,204,220,227,216,0,867,61,7,2,0.2,220,25.4,364,42,197,22.7,22.7,0.7,11.9,59.3,0.8,0.1,4.5,55.5,44.5,411,15.8,873,6363564,80551,79,18129829.54,849,21354.33,18134829.54,850,21335.09,193,97.4,2.6,0,0,0,0,184,117,63.6,0,40.2,36.8,23.1,36.8,12.8,5.1,"15","20",10,5,0,0,0,2,8,6,1,3,50,50,103,445,406,446,183,79,101,44,82,35,42,18,6,3,231,92,50.5,204,214,93,76,33,138,60,16,7,1,0,231,97.7,46.5,206,"Level 2","Not meeting gap narrowing goals",60,83,68,"Level 2","Not meeting gap narrowing goals",83,68
"19",350515,"Charlestown High","Public School","Principal","William Thomas","240 Medford Street","","Charlestown","MA",2129,"617-635-9914","617-635-9928","09,10,11,12","Boston",350000,0,0,0,0,0,0,0,0,0,0,259,188,225,195,43,910,563,61.9,378,41.5,230,25.3,795,87.4,572,62.9,33.1,17,43.5,5.2,0.1,0,1.1,60.1,39.9,451,15.2,952,383866184,88790,4323,1093104368.5,56858.8,19224.89,1269579527.02,65964.6,19246.36,217,53.9,22.1,2.8,1.4,19.8,0,139,91,65.5,0,33,35.2,31.9,34.1,7.7,20.9,"104","154",61,36,7,0,0,77,37,19,9,12,74,26,121,346,349,433,101,51,31,16,70,35,68,34,31,16,200,82.3,51.5,122,143,71,7,3,136,67,34,17,25,12,202,90.2,42,124,"Level 3","Among lowest performing 20% of schools and subgroups",9,65,66,"Level 4","One or more schools in the district classified into Level 4",53,54
"20",8760605,"Bay Path Regional Vocational Technical High School","Public School","Principal","Clifford Cloutier","57 Old Muggett Hill Road","","Charlton","MA",1507,"508-248-5971","508-248-4747","09,10,11,12","Southern Worcester County Regional Vocational Technical",8760000,0,0,0,0,0,0,0,0,0,0,304,299,265,246,0,1114,4,0.4,0,0,163,14.6,403,36.2,298,26.8,0.5,0.4,6.7,91.3,0.1,0,0.9,58,42,883,13.9,1118,7813907,72553,108,19725658,1082.5,18222.32,19899772,1112.9,17881.01,261,94.3,1.9,0.8,0.4,2.7,0,260,110,42.3,0.9,33.6,45.5,20,42.7,14.5,4.5,"116","187",69,27,16,4,0,69,68,31,17,2,73.3,26.7,130,459,432,470,221,80,125,45,96,35,43,16,11,4,275,91.2,60,255,264,96,88,32,176,64,10,4,1,0,275,98.5,49,253,"Level 1","Meeting gap narrowing goals",55,84,80,"Level 1","Meeting gap narrowing goals",84,80
"21",570505,"Chelsea High","Public School","Principal","Priti Johari","299 Everett Avenue","","Chelsea","MA",2150,"617-466-5000","617-889-8468","09,10,11,12","Chelsea",570000,0,0,0,0,0,0,0,0,0,0,439,430,384,292,0,1545,1348,87.2,483,31.3,143,9.3,1111,71.9,721,46.7,6.6,2.3,85,5.6,0,0.1,0.5,52,48,621,23,1586,27035942,64772,417,80232201.2,6300.4,12734.46,96592693.31,7014.6,13770.24,368,62.5,10.1,3.5,2.4,21.5,0,238,169,71,0.6,22.5,49.1,27.8,47.9,5.9,20.7,"212","396",94,65,40,13,0,165,108,73,34,16,68.9,31.1,131,448,424,449,149,40,79,21,70,19,87,23,136,37,372,62.4,26,160,234,64,68,19,166,45,97,26,36,10,367,83.1,55,163,"Level 3","Among lowest performing 20% of schools and subgroups",4,49,48,"Level 3","One or more schools in the district classified into Level 3",40,34
"22",610510,"Chicopee Comprehensive High School","Public School","Principal","Derek Morrison","617 Montgomery Street","","Chicopee","MA",1020,"413-594-3534","413-594-3492","09,10,11,12","Chicopee",610000,0,0,0,0,0,0,0,0,0,0,343,380,331,355,21,1430,181,12.7,44,3.1,227,15.9,716,50.1,607,42.4,2.3,2.5,26.2,66.9,0.1,0.2,1.8,53.5,46.5,775,15.9,1487,40973099,65358,627,104445939.54,7618.3,13709.87,108607099.95,7950.9,13659.72,358,80.7,6.7,1.4,1.4,9.8,0,299,203,67.9,0,18.2,67,14.8,63.5,5.9,4.9,"124","245",52,39,21,8,4,54,85,67,28,11,56.7,43.3,143,471,446,479,223,69,119,37,104,32,73,23,27,8,323,87.2,35.5,284,296,90,88,27,208,63,22,7,11,3,329,96.6,39,287,"Level 3","Among lowest performing 20% of schools and subgroups",8,62,65,"Level 3","One or more schools in the district classified into Level 3",59,57
"23",610505,"Chicopee High","Public School","Principal","James Blain","820 Front Street","","Chicopee","MA",1020,"413-594-3437","413-594-3500","09,10,11,12","Chicopee",610000,0,0,0,0,0,0,0,0,0,0,236,204,255,246,6,947,159,16.8,37,3.9,190,20.1,534,56.4,449,47.4,4.6,2,37.4,54.5,0,0.1,1.4,49.1,50.9,663,13.7,963,40973099,65358,627,104445939.54,7618.3,13709.87,108607099.95,7950.9,13659.72,267,80.9,5.6,1.5,0.7,11.2,0,228,176,77.2,0,29,54.5,16.5,52.8,5.7,5.7,"152","292",74,34,28,14,2,55,98,76,45,18,52.4,47.6,120,478,464,470,142,61,84,36,58,25,62,27,28,12,232,80.6,28.5,186,205,88,61,26,144,62,21,9,7,3,233,95.4,35,185,"Level 3","Among lowest performing 20% of schools and subgroups",5,58,74,"Level 3","One or more schools in the district classified into Level 3",59,57
"24",6400505,"Concord Carlisle High","Public School","Principal","Michael Mastrullo","500 Walden Street","","Concord","MA",1742,"978-318-1400","978-318-1435","09,10,11,12","Concord-Carlisle",6400000,0,0,0,0,0,0,0,0,0,0,301,334,325,315,1,1276,64,5,5,0.4,211,16.5,269,21.1,69,5.4,4.3,9.5,4,78.5,0,0,3.7,47.8,52.1,713,15.3,1284,9468759,100731,94,24139660.22,1257.7,19193.5,28109892.72,1306.3,21518.71,303,98.3,1.7,0,0,0,0,292,262,89.7,0.4,65.3,5.7,28.6,4.2,1.9,9.9,"274","498",137,75,43,14,5,8,20,68,137,265,5.6,94.4,263,616,605,635,315,94,267,80,48,14,12,4,7,2,334,97.4,51,287,320,98,262,80,58,18,5,2,2,1,327,99.3,51,227,"Level 2","Low assessment participation (Less than 95%)",85,93,84,"Level 2","Low assessment participation (Less than 95%)",93,83
